state,x,y
Andhra Pradesh,-69.0,-173.0
Arunachal Pradesh,214.0,124.0
Assam,162.0,84.0
Bihar,57.0,63.0
Chhattisgarh,-19.0,-34.0
Goa,-180.0,-159.0
Gujarat,-228.0,5.0
Haryana,-119.0,137.0
Himachal Pradesh,-104.0,203.0
Jammu Kashmir,-145.0,234.0
Jharkhand,45.0,13.0
Karnataka,-149.0,-180.0
Kerala,-130.0,-275.0
Madhya Pradesh,-107.0,7.0
Maharashtra,-163.0,-83.0
Manipur,216.0,53.0
Meghalaya,155.0,65.0
Mizoram,203.0,15.0
Nagaland,231.0,84.0
Odisha,37.0,-50.0
Punjab,-134.0,168.0
Rajasthan,-182.0,89.0
Sikkim,110.0,111.0
Tamil Nadu,-92.0,-272.0
Telangana,-83.0,-115.0
Tripura,177.0,26.0
Uttar Pradesh,-50.0,90.0
Uttarakhand,-71.0,161.0
West Bengal,98.0,-1.0
Ladakh,-110.0,259.0
Puducherry,-62.0,-238.0
